"SAMAccountName","LastLogonDate"
"_Clinical",
"_Communications",
"_SocialEnterpriseAss",
"_SocialEnterprisePri",
"abamberg","6/29/2012 8:57:37 AM"
"AbigailM","2/8/2017 9:15:29 AM"
"abigaily","11/19/2019 11:36:28 AM"
"accounting-",
"adjoin","6/29/2019 6:11:22 AM"
"admin1","9/5/2017 4:32:24 AM"
"Administrator","11/18/2019 6:00:01 PM"
"Adrianam","11/6/2019 10:32:52 AM"
"adriennem","4/13/2015 8:35:14 AM"
"aivath","10/22/2019 1:04:39 PM"
"ajeiar","11/19/2019 10:52:23 AM"
"alanag","11/21/2019 1:09:00 PM"
"alejandrac","11/18/2019 4:48:22 PM"
"alexandrab","9/3/2016 11:17:07 AM"
"alexb","10/25/2018 2:22:19 PM"
"alexier","11/8/2018 8:15:57 AM"
"AlexisC","7/2/2019 12:17:20 PM"
"aliak","11/22/2019 6:57:14 AM"
"aliciab","11/22/2019 12:23:21 PM"
"aliciap","4/26/2013 2:59:19 PM"
"AlisaS","10/9/2016 9:03:48 AM"
"allisonb",
"allisonp","8/13/2018 1:10:46 PM"
"AllonaA","5/1/2017 12:44:46 PM"
"almap","11/15/2019 9:16:06 AM"
"almav","11/27/2019 9:26:24 AM"
"alnshaj",
"alycenh","5/2/2016 11:13:59 AM"
"alyssah","9/9/2019 2:22:24 PM"
"AmandaD","10/23/2015 5:15:35 PM"
"AmandaL","11/21/2019 12:13:53 PM"
"amandam","4/8/2013 11:03:52 AM"
"amandas","9/28/2012 2:28:19 PM"
"amartinez","9/17/2019 9:36:20 AM"
"amberw",
"AmirP","11/16/2016 8:24:25 PM"
"amyt","11/26/2019 6:16:47 AM"
"anam","3/12/2018 1:15:44 PM"
"AnaV","2/21/2019 9:39:13 AM"
"andrewh","12/24/2014 2:36:20 PM"
"andrewj","8/1/2017 9:04:52 AM"
"andym","11/26/2019 12:21:38 PM"
"AngelaH","8/13/2018 8:33:17 AM"
"angelat","3/29/2017 12:12:44 PM"
"angeliap","11/6/2019 10:06:00 AM"
"angelitar","12/31/2015 11:35:17 AM"
"angelj","4/18/2018 3:05:56 PM"
"annem","4/17/2018 2:07:34 PM"
"annsophiem","12/2/2016 9:31:13 AM"
"ANord","12/6/2016 8:25:04 AM"
"anthonyw","9/15/2017 9:18:45 AM"
"aracelim","10/7/2019 2:12:11 PM"
"aracelip","9/5/2018 2:36:01 PM"
"aregina","12/19/2018 10:03:19 AM"
"arnoldr","4/5/2015 4:55:58 PM"
"arpineg","12/3/2015 8:55:41 AM"
"ashabazz","1/20/2017 9:04:55 AM"
"AshaniqueN","2/24/2018 7:02:17 AM"
"AshleyB","1/23/2017 1:12:14 PM"
"ashleye",
"ashontig","2/8/2018 5:55:40 AM"
"ASPNET",
"assiam","5/10/2019 12:23:09 PM"
"auditor",
"audreyk","11/16/2015 10:26:11 AM"
"audreyk-old","3/3/2014 10:15:18 AM"
"AuraY","11/18/2019 8:30:47 AM"
"avargas","11/15/2019 6:12:40 AM"
"barbaral","6/2/2018 6:09:35 AM"
"BarronD",
"BeatrizS","6/11/2019 9:07:57 AM"
"beckib",
"bernicet",
"bettinaa","8/13/2018 9:46:56 AM"
"BeverlyD","6/4/2019 2:52:15 PM"
"biancad","2/13/2017 9:47:22 AM"
"bigmammascan","3/7/2017 8:56:42 AM"
"bjohnson",
"brandyec","5/23/2019 3:23:00 PM"
"brendag","9/23/2018 3:13:28 PM"
"brendat","5/13/2019 12:07:50 PM"
"breonnab","11/23/2019 1:46:30 PM"
"brittanys","11/25/2019 5:30:08 PM"
"BrittneyA","11/14/2016 9:36:34 AM"
"brittneyd","7/1/2015 9:02:49 PM"
"brookel","12/7/2016 3:28:26 AM"
"camillec","2/23/2017 10:42:40 AM"
"camillew","7/25/2018 2:56:47 PM"
"carish","7/22/2019 11:01:13 AM"
"carlag","7/6/2015 8:52:20 AM"
"caroleb",
"carolines","4/25/2016 8:39:02 AM"
"casimirs","4/14/2017 5:19:59 PM"
"CassieA",
"ccortez","9/17/2019 6:10:21 AM"
"chanikac","11/18/2019 2:49:19 PM"
"CharlotteB","10/27/2015 1:51:01 PM"
"CharlotteF","8/8/2017 10:30:53 AM"
"CharmaineC","4/21/2017 3:36:28 PM"
"chelsear","6/10/2019 8:29:03 AM"
"cherishw","6/27/2019 4:13:51 PM"
"cherylc","2/25/2014 2:25:49 PM"
"cheyanner","11/19/2019 12:58:55 PM"
"chloer","2/15/2019 11:28:36 AM"
"ChristineP","1/2/2018 10:21:25 AM"
"chst",
"chstest","1/7/2014 9:22:45 AM"
"CilitaS","2/8/2017 10:22:22 AM"
"cindym","11/6/2015 7:54:43 AM"
"cinthyas","11/19/2019 9:57:05 AM"
"claudiac","11/8/2019 8:22:38 AM"
"clinicalintern","5/21/2018 8:14:42 AM"
"clinicalintern2","5/14/2018 8:10:37 AM"
"clinicalintern3","7/23/2018 6:06:06 PM"
"clinicalintern4","4/23/2018 7:48:40 AM"
"clinicalintern5","1/29/2018 12:24:21 PM"
"conniet","11/25/2019 5:42:17 PM"
"courtneyb","11/9/2017 8:39:03 AM"
"courtneyh","7/24/2018 1:47:26 PM"
"cristalr","8/26/2019 8:09:27 AM"
"CristianC","3/23/2017 11:55:30 AM"
"cristinag","10/25/2018 11:17:21 AM"
"cristinat","9/21/2016 8:33:52 AM"
"cyndiao","10/2/2019 11:46:56 AM"
"cynthiab","11/18/2019 10:44:09 AM"
"CynthiaL","1/31/2018 9:18:03 AM"
"cynthiap",
"daisya",
"daisyr","11/22/2019 4:27:38 PM"
"DaisyS","10/7/2019 10:04:07 AM"
"daniac","11/21/2019 10:06:00 AM"
"danielled","10/25/2016 8:56:15 AM"
"daniellef","11/20/2019 9:27:48 AM"
"darikab",
"dashaynab","11/25/2019 9:47:44 AM"
"davidr","11/21/2019 7:40:31 AM"
"deboraht","12/19/2018 8:39:25 AM"
"dejaneekb","4/22/2019 1:14:06 PM"
"denay","7/6/2018 9:50:41 AM"
"DeniseM","10/20/2017 2:14:48 PM"
"desireer","6/18/2018 8:25:46 AM"
"develop1",
"dianas","11/21/2019 1:12:51 PM"
"dianes","11/21/2019 4:18:31 PM"
"dianned","1/3/2017 4:48:37 PM"
"DianneJ","7/31/2018 12:54:37 PM"
"directors-",
"donnap","12/11/2018 11:53:49 AM"
"donnyb",
"dorothyo","8/9/2019 9:54:13 AM"
"drivera","4/20/2018 12:46:30 PM"
"DulceP","5/1/2017 7:41:15 AM"
"dwcguest","11/17/2019 11:04:31 PM"
"dwcstore","11/18/2019 9:59:44 AM"
"dwenzel","7/25/2017 11:24:38 AM"
"edgara","3/12/2018 3:22:48 PM"
"edithr","5/3/2019 7:45:05 AM"
"eleanorc",
"eleanorn",
"elizabethl","11/18/2019 9:03:33 AM"
"elizabethm","11/25/2019 8:45:02 AM"
"elizabethn","7/1/2016 8:08:18 AM"
"ElizabethO","11/22/2019 10:56:27 AM"
"EllenU","8/3/2017 11:14:11 AM"
"elonaw","10/8/2019 10:50:17 PM"
"elviav","12/20/2016 2:12:45 PM"
"elviny","11/25/2019 9:33:00 AM"
"emilyg","11/18/2019 8:32:58 AM"
"emilyn","10/18/2019 10:46:26 AM"
"emilyv","11/18/2019 8:42:47 AM"
"emmac","9/3/2019 9:36:46 AM"
"emmaj","11/17/2019 11:20:39 AM"
"erikah","11/18/2019 2:50:56 PM"
"EuniceR","6/8/2017 2:31:57 PM"
"evabm","11/25/2019 8:35:38 AM"
"evac",
"evachavez","3/28/2017 1:17:28 PM"
"fernandac","11/17/2019 6:55:56 AM"
"finance","6/17/2014 11:31:58 AM"
"franciner","12/11/2018 9:58:28 AM"
"FredaR","2/7/2019 11:18:40 AM"
"gabrielah","11/18/2019 9:11:17 AM"
"GabrielaV","4/4/2017 9:12:10 AM"
"gabriellad","11/25/2019 8:44:38 AM"
"gabrielles","8/1/2017 9:01:04 AM"
"gabriellew","9/12/2017 1:45:30 PM"
"gautamia","5/23/2016 9:11:31 AM"
"genesism","11/20/2019 12:25:13 PM"
"georgetteb",
"georginar","11/26/2019 9:57:04 AM"
"ginap","11/18/2019 9:35:00 AM"
"gorethys",
"GraceW","11/18/2019 11:30:16 AM"
"Guest",
"guestaccount","1/28/2014 2:59:30 PM"
"haideea","11/18/2019 8:50:12 AM"
"HannahB","6/18/2018 8:17:23 AM"
"HannahL","5/1/2017 8:46:39 AM"
"healthteam","9/2/2014 11:02:18 AM"
"heidyg","11/15/2019 4:46:01 PM"
"hollyh","11/21/2019 8:48:50 AM"
"intern","11/21/2019 9:23:39 AM"
"internOT","7/30/2018 3:04:09 PM"
"irenek","11/14/2019 10:48:01 PM"
"irenem",
"irisa","10/31/2019 11:36:06 AM"
"irvingp",
"irvinp","11/27/2019 8:44:36 AM"
"IUSR_DWC-DC","2/5/2015 9:08:29 PM"
"ivana","11/18/2019 10:27:19 AM"
"ivorye",
"IWAM_DWC-DC",
"izairan",
"jacquelineg","11/25/2019 11:22:18 AM"
"jameshaw",
"jamieb",
"jamiel","7/12/2016 9:47:26 AM"
"jamies",
"jaquientab","2/11/2019 11:25:03 AM"
"jasirijg","9/24/2019 2:10:00 AM"
"jasminaz","10/31/2014 9:37:53 AM"
"jasming","11/18/2019 7:29:59 AM"
"jaylynm","11/20/2018 10:44:25 AM"
"jeanineb","11/25/2019 11:25:09 AM"
"JeannetteV","11/25/2019 3:14:32 PM"
"jeanninew","7/9/2019 1:11:34 PM"
"jennab","4/28/2014 10:01:37 AM"
"jennas","10/14/2014 5:47:21 PM"
"JenniferA","11/13/2018 9:17:43 AM"
"JenniferB","6/11/2016 6:55:59 AM"
"JenniferG","11/25/2019 8:21:54 AM"
"jenniferml",
"jennm","1/13/2016 1:20:38 PM"
"jennyferg","12/9/2014 8:04:25 PM"
"JennyM","9/27/2016 9:25:19 AM"
"jennys","6/27/2017 3:33:37 PM"
"jessep","11/17/2016 11:19:09 AM"
"jessicag","11/26/2019 6:11:22 AM"
"jessicaga","11/27/2019 12:09:34 AM"
"JessicaS","9/8/2016 10:17:32 AM"
"jhazzyem","11/25/2019 8:08:30 AM"
"jmcdonald","4/20/2017 3:16:40 PM"
"joannel","5/21/2018 10:57:54 AM"
"jocelynh",
"JoclynG","4/2/2018 10:37:53 PM"
"joea","11/21/2019 4:19:01 PM"
"joeu",
"johannal","11/18/2019 1:34:00 PM"
"jorgeb","11/24/2019 5:15:33 PM"
"JosabethM","10/16/2015 10:08:58 AM"
"joycew","11/18/2019 1:08:00 PM"
"juanc",
"juliap","1/16/2017 7:59:56 AM"
"kadoetyp","7/2/2018 11:30:26 AM"
"kamilahs","11/18/2019 1:22:16 PM"
"kaneshaj","4/30/2019 11:55:04 AM"
"karonb","7/11/2017 9:05:41 AM"
"kaseemb","5/4/2018 1:53:19 PM"
"KashaJ","11/19/2016 9:38:19 AM"
"katharinem","12/3/2015 4:39:18 PM"
"katieb","4/25/2019 8:17:24 AM"
"katiet","11/4/2015 9:22:20 AM"
"KatrinaV","5/21/2018 8:47:11 AM"
"kellyr","5/16/2016 8:23:29 AM"
